item_no,title,type,data_mean,scenario,graph_text_1,graph_text_2,chance_start,severity_start,question_end,if_phrase,x_label,graph_cat,chance_cat,severity_cat,condition,img,point1,point2,point3
21,Downhill Skiing,E,67,You are going downhill skiing.,The graph below shows the chance,of very icy conditions for three randomly selected ski-runs.,What is the chance,What is the severity of consequences if,you encounter very icy conditions?,If you go on one of these ski-runs...,Ski-run,The graph below shows the chance of very icy conditions for three randomly selected ski-runs.,What is the chance you encounter very icy conditions?,What is the severity of consequences if you encounter very icy conditions?,hi,graphs/E21_hi.png,66.87231976711143,67.05418736016388,67.06389027951413
28,Renting an Apartment,E,68,You are renting an apartment in town.,The graph below shows the chance,of your rent increasing after the first six months for three randomly selected apartment blocks.,What is the chance,What is the severity of consequences if,your rent increases after the first six months?,If you rent in one of these apartment blocks...,Block,The graph below shows the chance of your rent increasing after the first six months for three randomly selected apartment blocks.,What is the chance your rent increases after the first six months?,What is the severity of consequences if your rent increases after the first six months?,lo,graphs/E28_lo.png,68.29838591212518,68.24130599958227,68.83220261819773
23,Heavy Rainfall,E,70,You are going on a camping trip next week.,The graph below shows the chance,of heavy rainfall for three randomly selected days next week.,What is the chance,What is the severity of consequences if,you experience heavy rainfall?,If you camp on one of these days...,Day,The graph below shows the chance of heavy rainfall for three randomly selected days next week.,What is the chance you experience heavy rainfall?,What is the severity of consequences if you experience heavy rainfall?,hi,graphs/E23_hi.png,69.71976217672389,69.88491125525836,70.77935415707456
17,Unsafe Drinking Water,E,71,You are taking a vacation to a country with reports of unsafe drinking water.,The graph below shows the chance,of exposure to harmful bacteria in drinking water from three randomly selected water sources.,What is the chance,What is the severity of consequences if,you are exposed to harmful bacteria in drinking water?,If you drink water from one of these sources...,Water Source,The graph below shows the chance of exposure to harmful bacteria in drinking water from three randomly selected water sources.,What is the chance you are exposed to harmful bacteria in drinking water?,What is the severity of consequences if you are exposed to harmful bacteria in drinking water?,lo,graphs/E17_lo.png,71.28818148258064,71.0443121756804,71.34627242512612
25,House Extension,F,39.5,You are reviewing design ideas for a new house.,The graph below shows the chance,of planning permission being denied for three randomly selected design ideas.,What is the chance,What is the severity of consequences if,your planning permission is denied?,If you select one of these design ideas...,Design,The graph below shows the chance of planning permission being denied for three randomly selected design ideas.,What is the chance your planning permission is denied?,What is the severity of consequences if your planning permission is denied?,mid,graphs/F25_mid.png,39.96666348610643,39.23748411131013,40.40721989395352
26,Marketing Campaign,F,33.5,You are managing a marketing campaign.,The graph below shows the chance,"of this marketing campaign failing to have an impact, for three randomly selected marketing strategies.",What is the chance,What is the severity of consequences if,your marketing campaign does not have an impact?,If you use one of these marketing strategies...,Strategy,"The graph below shows the chance of this marketing campaign failing to have an impact, for three randomly selected marketing strategies.",What is the chance your marketing campaign does not have an impact?,What is the severity of consequences if your marketing campaign does not have an impact?,mid,graphs/F26_mid.png,33.683366981366156,33.69822600683195,33.13407813954565
27,Assigning a Project,F,36.5,You are assigning an important project to one of your employees.,The graph below shows the chance,of the project being late for three randomly selected employees.,What is the chance,What is the severity of consequences if,the project is completed late?,If you assign the project to one of these employees...,Employee,The graph below shows the chance of the project being late for three randomly selected employees.,What is the chance the project is completed late?,What is the severity of consequences if the project is completed late?,mid,graphs/F27_mid.png,36.216133129826375,36.092619710628995,36.2530302018007
29,Medication for Indigestion,F,53.5,You are taking a pill to treat indigestion.,The graph below shows the chance,"it will be ineffective, for three randomly selected pills.",What is the chance,What is the severity of consequences if,the pill is ineffective?,If you choose one of these pills…,Pill,"The graph below shows the chance it will be ineffective, for three randomly selected pills.",What is the chance the pill is ineffective?,What is the severity of consequences if the pill is ineffective?,mid,graphs/F29_mid.png,52.93954998432026,53.00513775187866,52.81265150272365
30,Loan Repayments,F,34.5,"You are taking out a loan, which has several repayment options.",The graph below shows the chance,of you being unable to keep up repayments for three randomly selected repayment plans.,What is the chance,What is the severity of consequences if,you are unable to keep up repayments?,If you choose one of these repayment plans...,Plan,The graph below shows the chance of you being unable to keep up repayments for three randomly selected repayment plans.,What is the chance you are unable to keep up repayments?,What is the severity of consequences if you are unable to keep up repayments?,mid,graphs/F30_mid.png,35.32355581299529,34.234811354288446,34.60500986491064
33,Online Shopping,F,52.5,You are placing an online order for an item that must arrive tomorrow.,The graph below shows the chance,of the item arriving after tomorrow for three randomly selected online stores selling this item.,What is the chance,What is the severity of consequences if,the item arrives after tomorrow?,If you order from one of these stores...,Store,The graph below shows the chance of the item arriving after tomorrow for three randomly selected online stores selling this item.,What is the chance the item arrives after tomorrow?,What is the severity of consequences if the item arrives after tomorrow?,mid,graphs/F33_mid.png,52.545194854378295,52.673628070146854,52.10294078685894
34,Vitamin Deficiency,F,40.5,You want to follow a new diet.,The graph below shows the chance,of developing a vitamin deficiency for three randomly selected diet plans.,What is the chance,What is the severity of consequences if,you develop a vitamin deficiency?,If you follow one of these diet plans...,Diet plan,The graph below shows the chance of developing a vitamin deficiency for three randomly selected diet plans.,What is the chance you develop a vitamin deficiency?,What is the severity of consequences if you develop a vitamin deficiency?,mid,graphs/F34_mid.png,40.079838369043,41.09125624361845,40.63959428193008
40,Answering Questions,A,31.5,You are expected to answer questions properly throughout this experiment.,NA,"For this trial, ignore the graph below. Respond 'Very likely' on the top scale, and 'Very mild' on the bottom scale.",What is the chance response specified above?,What is the severity response specified above?,NA,Answer the questions below according to the text above...,Item,"For this trial, ignore the graph below. Respond 'very likely' on the top scale, and 'very mild' on the bottom scale.",What is the chance response specified above?,What is the severity response specified above?,mid,graphs/A40_mid.png,32.46395072526027,31.865860513344472,31.977308805156227
41,Paying Attention,A,52.5,You are expected to pay attention throughout this experiment.,NA,"For this trial, ignore the graph below. Respond 'Very likely' on the top scale, and 'Very severe' on the bottom scale.",What is the chance response specified above?,What is the severity response specified above?,NA,Answer the questions below according to the text above...,Item,"For this trial, ignore the graph below. Respond 'very likely' on the top scale, and 'very severe' on the bottom scale.",What is the chance response specified above?,What is the severity response specified above?,mid,graphs/A41_mid.png,52.75717986183195,52.443611312223744,52.532170032190486
42,Meaningful Responses,A,40.5,You are expected to provide meaningful responses throughout this experiment.,"
","For this trial, ignore the graph below. Respond 'Very unlikely' on the top scale, and 'Very mild' on the bottom scale.",What is the chance response specified above?,What is the severity response specified above?,NA,Answer the questions below according to the text above...,Item,"For this trial, ignore the graph below. Respond 'very unlikely' on the top scale, and 'very mild' on the bottom scale.",What is the chance response specified above?,What is the severity response specified above?,mid,graphs/A42_mid.png,41.12736042649146,41.35204271230874,40.94016151146544
